,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/15-14:58:50.4173,177.17990874,156.382809545,172.317678248,149.062844226,106.191376162,174.482186099,-0.0247247,-0.6938769,0.29987,0.0479679,-0.6679021,-0.2180406,132.773290624,86.6703803171,168.614759226,112.515253089,153.854219534,104.179906067,121.523241158,145.811812999,131.225953206,72057594037927968
1,2016/11/15-14:58:51.3585,177.266754186,158.06016124,173.466881026,147.380822094,106.437879439,175.579111466,-0.0285169,-0.6967092,0.294859,0.0388641,-0.6708133,-0.2239275,132.894422321,85.9134661197,168.704888661,111.692430291,154.477945872,104.049855722,121.765331598,146.231198657,131.429989341,72057594037927968
2,2016/11/15-14:58:51.3755,177.267623056,158.842540237,174.03193137,146.851335034,106.627909913,175.948647109,-0.0316023,-0.6965864,0.291463,0.0369827,-0.6659136,-0.2252503,133.580811946,89.1793998706,168.420556999,110.915044862,155.637410507,104.038350612,122.055408005,147.355892344,131.676720593,72057594037927968
3,2016/11/15-14:58:51.4229,177.42141025,160.141540041,174.599219945,145.687905023,105.672997598,176.218218542,-0.0345023,-0.7014721,0.290764,0.0474833,-0.652185,-0.2223282,133.955576038,90.3603804422,168.374044364,110.359923644,156.327795703,103.982002637,122.53576526,148.814946271,131.863912541,72057594037927968
4,2016/11/15-14:58:51.5139,177.937926081,169.532678583,171.751685304,141.212444168,97.6208576099,177.482032761,-0.0394835,-0.7059675,0.288751,0.0507979,-0.6494773,-0.2181058,135.244433975,93.0538863924,168.774293532,111.219821092,173.593947608,112.375953551,123.294107697,155.958754811,131.02270979,72057594037927968
5,2016/11/15-14:58:51.5331,177.99335605,176.449011336,178.68465462,139.969519468,95.4763913213,177.892563875,-0.0452485,-0.7253794,0.290744,0.0531512,-0.6495623,-0.2146396,135.920877963,95.0948707297,169.262999707,111.735505246,166.166446666,107.912861775,122.525878544,157.290030537,130.23092252,72057594037927968
6,2016/11/15-14:58:51.5764,178.230422725,179.573383507,177.532186291,136.920425613,87.4503000744,179.469185033,-0.0461068,-0.7252567,0.290175,0.0474236,-0.6601888,-0.2159553,138.996380789,100.321025333,168.296591378,110.131339347,169.08895694,108.413905637,125.325333109,165.88290654,129.61275092,72057594037927968
7,2016/11/15-14:58:51.6686,178.218487425,179.958819437,177.335163188,129.984524591,62.3294326634,179.035252206,-0.0488816,-0.7255238,0.287815,0.061145,-0.675089,-0.1912277,138.568977937,99.9787273952,169.050322713,111.381031985,169.483857121,109.112532347,130.788069241,174.320268248,126.825936472,72057594037927968
8,2016/11/15-14:58:51.6882,178.38970592,179.731852364,177.724140426,130.074412964,61.6723406454,178.421182253,-0.0497588,-0.7251448,0.285565,0.0591367,-0.6813354,-0.1866317,138.414709476,99.8030023669,169.281415715,108.666490582,169.085051311,107.581504826,130.031008753,175.065594703,126.680539947,72057594037927968
9,2016/11/15-14:58:51.7329,178.537882789,177.977758246,176.801626552,128.792567431,56.9625501748,178.134556814,-0.0495962,-0.7257425,0.287327,0.0599054,-0.6841798,-0.1792522,139.6392085,100.204630102,168.638938662,108.317676683,170.670486707,108.237917058,131.708046089,171.50115802,126.561383656,72057594037927968
