,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/15-15:08:04.5495,178.119051082,120.196796178,160.902735889,150.968239709,126.425878197,179.701581053,-1.48e-05,-0.7238517,0.216823,0.0099817,-0.6455715,-0.2073169,137.091427912,111.693392857,167.266421143,107.208322786,112.234080738,93.4203232059,123.202310639,127.014382236,131.932832418,72057594037927968
1,2016/11/15-15:08:05.7386,178.119082719,120.197632887,160.902670804,152.669162238,130.490019146,179.48985787,0.0026583,-0.7443991,0.237735,0.0136743,-0.6517703,-0.2211387,136.281329355,108.011725192,167.14669639,107.368166069,112.159411427,93.436027479,122.31834964,126.434497164,133.462846411,72057594037927968
2,2016/11/15-15:08:05.7817,178.119075915,120.196996538,160.902485523,154.702607823,133.047751641,179.012361881,0.0012492,-0.7423682,0.237416,0.0182583,-0.6579092,-0.2324832,135.663530725,105.068346029,166.882441323,107.676237933,112.083015052,93.4759413512,121.024474702,125.273775889,135.27735425,72057594037927968
3,2016/11/15-15:08:05.8345,178.118698088,120.199476488,160.902700636,156.214746475,135.870554427,178.845817564,0.0009171,-0.7369769,0.235696,0.0239416,-0.6607757,-0.2411741,135.03958362,101.8808675,166.725913744,108.467938907,112.002408687,93.5952637583,119.829217945,124.988461867,136.117153309,72057594037927968
4,2016/11/15-15:08:05.8841,178.118140866,120.197370598,160.901796071,157.109064887,139.965608467,179.351501203,0.0016142,-0.7466193,0.236177,0.0041249,-0.6961685,-0.2693225,134.048856036,97.775288176,166.39941563,109.470473578,111.90297889,93.7445907706,118.796507084,124.245666226,137.726150084,72057594037927968
5,2016/11/15-15:08:05.9574,178.117799801,120.19644932,160.901172782,157.236653683,140.261367708,179.384297503,0.0010054,-0.7469639,0.236913,0.0018751,-0.6996698,-0.2762685,133.204211588,94.2620421685,166.071378041,109.606474891,111.904353327,93.7677516519,118.476984883,124.475492088,137.499872514,72057594037927968
6,2016/11/15-15:08:06.0087,178.117347022,120.198663278,160.901240116,158.865527964,142.089013035,178.744278504,0.0003181,-0.747421,0.238601,0.0141008,-0.6848617,-0.2715899,132.700242312,91.5818292116,165.712614685,109.902522369,111.830748811,93.8025271713,117.908117533,124.156434125,138.132554452,72057594037927968
7,2016/11/15-15:08:06.0593,178.117160162,120.200621535,160.901482282,160.853455939,145.894614267,179.790771482,-0.0008524,-0.7489446,0.2343,0.0125167,-0.6857874,-0.2757388,132.4355278,89.7760765836,165.407508787,109.950117043,111.881556739,93.8207297052,117.633415396,124.082452856,137.822976449,72057594037927968
8,2016/11/15-15:08:06.1188,177.367056238,142.56456175,174.617913611,160.840020178,145.427442142,179.590642981,0.0046575,-0.7374731,0.196939,0.0080308,-0.6851816,-0.2784005,132.14543029,88.1137967053,165.247967047,108.775039388,111.690553734,93.5911384862,117.237049073,124.204514673,137.312004196,72057594037927968
9,2016/11/15-15:08:06.1823,177.429507841,142.875499002,174.623029367,160.504497484,143.90491193,179.217450389,0.0039654,-0.7385652,0.195168,0.0063448,-0.68073,-0.2776714,131.935915414,87.0957459511,165.166692054,109.438936665,111.809855953,93.721900534,117.192535204,124.928248776,136.965443478,72057594037927968
10,2016/11/15-15:08:06.2433,177.702603953,148.831057214,175.737770925,155.896852696,133.128797108,178.963289397,0.0001268,-0.7241637,0.186451,0.0162815,-0.6683545,-0.2692861,131.860523009,86.6319248517,165.166121374,110.657615643,112.011313261,93.967088407,120.176083933,132.918680069,136.256452254,72057594037927968
11,2016/11/15-15:08:06.3046,178.210297036,154.753521523,176.514661429,152.052610038,125.081598349,179.512082554,-0.0020642,-0.7160389,0.17986,0.0217594,-0.6633001,-0.2628274,131.89923292,86.1999101135,164.91660654,111.60848931,112.098353962,94.1497080766,121.961548055,138.834447147,135.443970045,72057594037927968
12,2016/11/15-15:08:06.3564,178.294853348,154.268895569,176.3497077,149.480872818,117.309787894,178.902098273,-0.0051416,-0.7093985,0.179836,0.0296822,-0.6569752,-0.2539273,131.890987636,85.9639773452,164.695513695,113.23984057,112.137723287,94.4439015335,123.893585802,144.117900623,135.427683158,72057594037927968
13,2016/11/15-15:08:06.4170,179.310164279,114.487947071,167.361034321,146.38370441,109.152306238,179.273001688,0.0068932,-0.6905815,0.108016,0.0375174,-0.6456676,-0.2438391,131.989631431,86.1760636024,164.565274937,111.203914601,112.096574923,94.0790502872,126.040608549,151.056986306,135.069458543,72057594037927968
14,2016/11/15-15:08:06.4688,179.233993608,114.697366007,167.533282795,144.401736462,100.253721781,177.29027697,0.0057209,-0.6910834,0.1139,0.0464192,-0.6395998,-0.2340725,132.010634096,86.4258410039,164.587080266,114.244746756,112.392460936,94.6942691087,126.956690268,155.951859368,134.758470961,72057594037927968
15,2016/11/15-15:08:06.5309,179.106078022,115.007011672,167.809854725,143.27249952,91.307194961,175.031982405,0.0039069,-0.6958489,0.123958,0.0860277,-0.6082901,-0.2133014,132.421076693,88.1034253557,163.831135833,114.239335805,112.792419513,94.8071839738,128.751984425,162.042682314,134.494636152,72057594037927968
