,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/15-15:11:55.6132,171.647260609,102.817705267,166.878198557,153.401107861,143.815640451,178.442150063,0.001974,-0.7086441,0.167917,-0.0096803,-0.6715463,-0.2237156,137.028853191,103.001474807,166.346390275,140.645120126,59.0635554244,101.339794655,109.984912,107.042497183,129.111874386,72057594037927968
1,2016/11/15-15:11:56.1478,176.839259299,176.765236657,175.522957527,153.898141132,150.081366885,173.856486638,0.0178204,-0.6844924,0.096721,-0.0060662,-0.6798249,-0.2447109,137.023208442,103.090895776,166.086222306,140.777244421,59.1633024931,101.068923365,109.736560805,109.413702217,130.657328608,72057594037927968
2,2016/11/15-15:11:56.1929,177.88050212,174.595263899,175.967920194,154.691507282,149.136080851,175.219532625,0.022307,-0.6958749,0.090319,-0.0068742,-0.6969306,-0.2663659,137.12419074,103.293854036,165.931603288,141.178719049,58.5520869871,100.30222901,109.223102087,111.620852404,131.643459876,72057594037927968
3,2016/11/15-15:11:56.2542,178.186490711,173.028902974,175.804699937,155.872684288,146.560602578,178.641874849,0.0275414,-0.7073542,0.08444,0.001487,-0.6984455,-0.2732109,137.689978731,106.386888495,166.317879475,142.396563035,59.0136443651,100.719360088,108.113875373,112.515407093,132.556829031,72057594037927968
4,2016/11/15-15:11:56.3155,178.257576044,172.313843947,175.349061692,159.850857458,142.321603262,175.919587628,0.0223779,-0.6871695,0.088002,0.0073791,-0.7084204,-0.2824479,136.678823639,102.956528158,165.703817265,127.292570989,51.8139969492,89.3957239535,109.527540253,118.91187187,136.100512596,72057594037927968
5,2016/11/15-15:11:56.3939,178.283211961,172.20386303,175.322201161,156.223458089,127.163442472,174.932454698,0.0236035,-0.6845412,0.084329,0.0647933,-0.6491721,-0.2596503,136.109685426,100.023449006,164.164169364,125.742608047,52.2637233422,89.309117648,118.163718648,138.148461424,136.18124998,72057594037927968
6,2016/11/15-15:11:56.4571,178.291994155,172.195138474,175.310980253,154.365870798,123.008228531,174.704945289,0.0212262,-0.6794283,0.081308,0.0637855,-0.6466081,-0.2571762,135.832500519,97.9521347082,162.816846481,124.905251979,52.6549714381,89.3519467109,119.391796645,140.937821091,136.056956789,72057594037927968
7,2016/11/15-15:11:56.5141,178.295856094,172.203789663,175.312085581,150.514789986,114.122446952,175.173746708,0.0190229,-0.6734633,0.081137,0.072403,-0.635463,-0.2467882,135.848175773,97.2280457368,162.052856781,124.8293904,53.1841151372,89.6330693033,122.741716881,148.556175986,135.638365212,72057594037927968
8,2016/11/15-15:11:56.5762,178.300500796,172.210803257,175.314157858,147.920523576,107.502155852,175.655829129,0.0164162,-0.6677919,0.079667,0.0730931,-0.6366775,-0.2444686,136.030318097,96.941104822,161.487609047,124.932038798,53.6814150359,89.9408612271,124.622726291,153.702759749,135.159602358,72057594037927968
9,2016/11/15-15:11:56.6915,177.096192863,156.130558321,177.299724632,142.556085792,96.0178127259,176.946100569,0.0078887,-0.7038791,0.121725,0.0703493,-0.6374675,-0.2422632,136.001478887,97.0196915049,161.220502921,124.184058655,54.5211460557,90.2016095254,128.293206183,163.628219214,134.314054213,72057594037927968
10,2016/11/15-15:11:56.7432,177.763330395,150.984120777,176.117265908,140.042931577,86.7402074321,175.142470812,0.0013223,-0.7022664,0.149769,0.0978696,-0.6139898,-0.2286509,136.21358777,97.6161264815,161.208375801,123.671994781,55.0945301042,90.3641212233,130.450936546,169.309333572,134.195746721,72057594037927968
11,2016/11/15-15:11:56.8036,177.69047604,152.264155795,176.354229149,137.158065403,81.6969115076,175.29483524,-6.34e-05,-0.7022341,0.146303,0.0979614,-0.6148435,-0.2228516,136.286683592,97.9494606822,161.344182214,122.89124856,55.8399260246,90.518857233,131.670384173,172.627863324,134.032837926,72057594037927968
12,2016/11/15-15:11:56.8533,177.56623168,153.235746706,176.564589951,134.827678767,76.2284628727,174.812387159,-0.003983,-0.7033721,0.149012,0.0994828,-0.6165776,-0.2167112,136.18027386,98.1942127385,161.484963842,122.149820299,56.6497953791,90.695329956,132.462290698,175.268874303,133.726622025,72057594037927968
13,2016/11/15-15:11:56.9142,177.534593277,153.274701637,176.582328229,129.719158552,71.8100581044,175.641570209,-0.0079858,-0.7083303,0.151202,0.062103,-0.6666223,-0.2300889,136.304356924,98.1915854299,161.822254453,121.046630768,57.4686206472,90.7386334427,133.371974574,177.439126748,133.539632538,72057594037927968
