,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/14-15:24:35.6242,170.166765355,169.925801523,160.109407712,137.768347209,92.2980274987,162.657496014,-0.0814436,-0.7207268,0.025342,0.1212586,-0.6465572,-0.2167495,138.725440418,130.508622911,177.344665288,121.966165168,73.6586048762,103.205710174,106.582120864,144.772950798,123.216572621,72057594037928048
1,2016/11/14-15:24:37.7050,167.645175931,173.879542326,161.464940267,138.434331823,92.7361911111,162.195551597,-0.0832296,-0.667509,0.062195,0.119162,-0.6477259,-0.2150561,138.515587537,130.042355043,177.676916671,119.835600587,76.6487277829,103.325429813,105.842458886,145.444968108,122.545776961,72057594037928048
2,2016/11/14-15:24:37.7469,164.177754396,167.375250936,157.152551847,138.540005699,92.7428742149,162.286171991,-0.0857963,-0.6690021,0.069567,0.116427,-0.6478712,-0.2132024,138.266167227,129.697351251,178.454550004,116.630859905,84.241954237,105.541034343,105.632208668,146.43459591,122.083537084,72057594037928048
3,2016/11/14-15:24:37.7925,163.992241207,147.318732087,156.560252508,139.644466806,93.83918065,162.408119568,-0.0852175,-0.6697714,0.080531,0.1131042,-0.6493469,-0.2101242,138.363584649,129.578571134,179.250382361,115.19084432,105.236999733,106.365239115,104.864393919,146.323210272,121.75292338,72057594037928048
4,2016/11/14-15:24:37.8560,164.621635579,112.580587965,160.111288411,138.638883979,95.5556376296,164.361955309,-0.0784037,-0.6590602,0.102254,0.1207615,-0.6376341,-0.2030421,138.728175636,129.673013752,179.908805128,114.048568547,145.322557577,107.267942963,104.428767273,146.453327082,121.459023236,72057594037928048
5,2016/11/14-15:24:37.8767,163.493109686,77.5584157776,157.788917063,140.92285771,93.559968592,162.382068243,-0.0779761,-0.6622411,0.117362,0.1032578,-0.6582179,-0.2061104,139.107392861,130.057908609,179.360359619,113.022973498,179.869050995,108.115856827,104.277221915,147.077069572,121.015604543,72057594037928048
6,2016/11/14-15:24:37.9728,162.614167766,49.9082832793,158.149990327,140.174669092,92.2403349017,163.213010053,-0.0767877,-0.6883247,0.152218,0.1043913,-0.6574267,-0.2040806,140.243837364,130.731586771,178.788769518,111.135093099,144.396389546,112.542898673,104.533030765,148.558621016,120.333245235,72057594037928048
7,2016/11/14-15:24:38.0362,165.559622052,56.1308140455,162.07607293,139.315618384,90.5139742628,164.426080153,-0.0631222,-0.6788652,0.183419,0.1063083,-0.6516908,-0.2006707,141.111360815,131.246850966,178.33100965,110.459899405,143.221602786,113.766201629,105.45305369,150.963877323,119.614420337,72057594037928048
8,2016/11/14-15:24:38.0573,167.445432827,62.3780325841,160.23900565,137.469558988,88.1564341322,165.854333638,-0.0600973,-0.6820735,0.208432,0.1019766,-0.649574,-0.2002104,141.779793085,131.461051585,178.206137873,110.580184825,154.176370608,112.906341585,106.644185613,153.504253864,119.131226074,72057594037928048
9,2016/11/14-15:24:38.1011,173.075983248,92.0754843829,164.722710146,134.700162754,80.8731903869,168.292119594,-0.0379707,-0.6784389,0.266769,0.1209142,-0.6272996,-0.1829653,143.238800465,131.675555741,178.705229383,109.198761228,149.911747393,117.128279921,110.36021725,161.553270503,117.374986819,72057594037928048
10,2016/11/14-15:24:38.1638,176.901600127,147.194656072,169.642919585,134.326822048,77.052798463,172.02363792,-0.0243534,-0.7273444,0.314839,0.1112699,-0.6200031,-0.1795966,132.563791925,118.500449425,179.758046029,106.31440287,157.532600866,115.310187112,114.920635833,168.891965269,119.632080664,72057594037928048
11,2016/11/14-15:24:38.2161,173.133227441,127.657767661,161.956513993,132.877138129,71.6067933944,172.330925606,-0.0210214,-0.6705261,0.333152,0.1159398,-0.6190268,-0.1719581,134.922922188,120.544809648,179.195622624,103.770434375,147.912552557,122.065889024,116.853368069,173.465857127,118.437179791,72057594037928048
12,2016/11/14-15:24:38.3025,176.217734041,16.4637498066,149.089690271,131.895644402,69.1446483656,174.485028222,0.0238469,-0.6425482,0.228375,0.115957,-0.6178307,-0.1680604,135.193533382,121.348201377,179.316675465,103.894735142,151.126596214,120.623482416,117.629123648,175.680938468,117.642060324,72057594037928048
13,2016/11/14-15:24:38.3660,177.942742511,12.0862384769,145.679650878,128.989636732,64.9772382871,176.200869492,0.0219581,-0.6412793,0.224907,0.1132876,-0.6215934,-0.1661887,137.005492651,123.237381874,178.895102643,103.409869483,147.888807971,122.713139362,119.520726989,179.995395859,116.497081534,72057594037928048
14,2016/11/14-15:24:38.3856,178.806552739,1.86220131214,139.378330667,127.583318592,61.3169370082,177.691740481,0.0145686,-0.6345616,0.191497,0.1040402,-0.6284435,-0.1617448,136.255738589,123.06429217,179.767802927,102.637467634,151.218187862,120.702272516,121.281282269,176.822215746,116.850059742,72057594037928048
15,2016/11/14-15:24:38.4291,178.937123417,5.33505340216,139.227584619,126.806945066,58.7393296395,177.696115673,0.0092672,-0.6203286,0.202801,0.1013102,-0.6322526,-0.158913,136.49402625,123.025126669,179.377046997,102.803631365,153.313325229,119.651384762,121.926369952,175.72658889,116.87919947,72057594037928048
16,2016/11/14-15:24:38.4813,179.170082222,7.1839445677,138.915304774,134.747449131,52.172648758,171.678971029,0.0053322,-0.6225739,0.20057,0.1727498,-0.5862084,-0.1330966,136.824895239,122.746464645,178.642536579,102.232311733,153.666752149,119.147508899,123.027891499,173.980824208,117.143802727,72057594037928048
17,2016/11/14-15:24:38.5447,179.803099154,9.42484936925,138.094825717,124.861344562,49.6687295028,175.375138438,0.0015284,-0.6237944,0.19514,0.1077126,-0.6258914,-0.1517564,137.439347569,122.497745699,177.76009715,101.801752935,153.738624472,118.480283616,124.069612561,172.077289288,117.345515517,72057594037928048
18,2016/11/14-15:24:38.5963,178.940046788,8.7901131697,136.546270357,123.077315184,47.8224458577,176.462935289,0.002335,-0.6267193,0.192771,0.1011317,-0.6423702,-0.146271,140.8996515,124.088063829,175.134593844,101.513316706,152.262555682,119.553726475,125.732294232,168.573571771,116.164488389,72057594037928048
19,2016/11/14-15:24:38.6586,178.563794865,9.19749450734,135.679728821,149.84662446,105.494952105,178.096334849,7.09999999998e-06,-0.6442179,0.160869,0.0365988,-0.7074157,-0.1541109,141.946798327,121.04148141,172.360595873,101.372594444,152.481127486,119.763762639,100.466941115,134.486899463,114.670679211,72057594037928048
20,2016/11/14-15:24:38.7233,179.982521229,14.8743469992,138.637709159,123.517101013,43.4281973141,173.779880916,-0.0076888,-0.628995,0.178064,0.0971167,-0.6448608,-0.1376474,137.820357206,119.405851432,177.633978089,98.3171139325,159.086647527,113.368370816,126.431254009,168.58353193,117.623052024,72057594037928048
21,2016/11/14-15:24:38.7434,176.137735448,164.545677456,174.389717477,123.005894725,44.1751348027,174.003373889,-0.0184388,-0.6601452,0.332998,0.0932923,-0.6427596,-0.1344733,137.158936618,116.290680435,176.268674564,99.8778408264,160.711879016,114.995500531,126.082764368,169.917640494,118.372703912,72057594037928048
22,2016/11/14-15:24:38.7998,176.184549844,159.309549467,170.706284012,122.887685218,45.3197702785,173.970918131,-0.0234347,-0.6702764,0.326979,0.0892411,-0.6431193,-0.1347473,136.907900779,115.052256008,176.0539378,100.252013364,160.506048336,115.804918133,125.781464819,171.228526201,119.015313062,72057594037928048
