,Date,ElbowLeft_XY,ElbowLeft_XZ,ElbowLeft_YZ,ElbowRight_XY,ElbowRight_XZ,ElbowRight_YZ,HL_position_X,HL_position_Y,HL_position_Z,HR_position_X,HR_position_Y,HR_position_Z,Neck_XY,Neck_XZ,Neck_YZ,ShoulderLeft_XY,ShoulderLeft_XZ,ShoulderLeft_YZ,ShoulderRight_XY,ShoulderRight_XZ,ShoulderRight_YZ,TrackingId
0,2016/11/01-16:59:16.2190,173.172347551,172.780030044,152.495768412,88.7836512549,110.673360538,120.249549729,-0.0215784,-0.7537695,-0.337389,0.214695,-0.5044316,-0.444192,156.416535324,82.5262586722,171.991270312,87.5055780498,58.1578272573,72.3941753894,130.391046117,154.394899198,159.307844234,72057594037934000
1,2016/11/01-16:59:16.8859,173.919482201,171.622633215,152.771338023,79.4168024186,102.476719362,111.758890721,-0.0142835,-0.7402708,-0.350463,0.2362276,-0.5037622,-0.441972,159.1136063,91.263772079,171.003616636,86.8167286793,58.7410907296,71.8883813428,130.446409702,163.265326954,151.823704722,72057594037934000
2,2016/11/01-16:59:16.9623,169.379433107,176.441244214,155.330037825,103.748453261,116.053681233,116.479008301,-0.0055106,-0.7307309,-0.360518,0.2536374,-0.5177693,-0.436723,164.305820956,102.250808538,165.836583577,84.4518060461,58.0925455622,84.3472132667,122.14524492,147.919896382,168.26824054,72057594037934000
3,2016/11/01-16:59:17.0114,166.765637041,171.158606847,147.350368914,112.027149751,105.311522005,109.408945039,0.0142804,-0.7055044,-0.362601,0.2446371,-0.523468,-0.417964,169.684182016,105.097334832,162.761198033,78.8843640483,59.8447360975,78.8398944754,122.197578468,167.806724853,141.280827345,72057594037934000
4,2016/11/01-16:59:17.0504,101.259847664,173.112814568,125.756385175,113.844463428,99.5869706332,106.166696287,-0.2300662,-0.40644382,-0.369938,0.2297572,-0.5099907,-0.388244,174.694834764,104.228862686,159.797485069,117.032795445,95.4846870054,107.761656568,124.823238863,173.322274124,146.105850776,72057594037934000
5,2016/11/01-16:59:17.1517,113.740592307,163.689079997,122.54574187,105.128661068,110.809371656,103.969848301,-0.2465277,-0.411761,-0.368215,0.1931257,-0.5500138,-0.657234,178.117329863,105.06467679,158.169867599,120.989598001,119.358946192,154.876870138,123.681462295,153.730018073,173.424895623,72057594037934000
6,2016/11/01-16:59:17.2545,148.328466504,155.735630537,134.629236291,96.7645107616,117.052004048,103.458730513,-0.2614009,-0.4140928,-0.369861,0.1929838,-0.5337808,-0.643339,173.217115256,96.9928762529,157.20805287,139.303338967,150.438298169,166.487506458,123.805234649,146.242721441,162.52658603,72057594037934000
7,2016/11/01-16:59:17.4395,152.023759124,161.784300039,140.975102153,152.489864284,121.647965162,115.725182963,-0.2741268,-0.4141659,-0.372593,0.213966,-0.5865385,-0.39212,172.407986581,73.2360582921,154.752807595,139.038140823,148.067261382,167.981766541,122.897199089,140.878486726,150.867259233,72057594037934000
8,2016/11/01-16:59:17.4618,151.776494933,171.869478249,148.610035882,155.809624016,123.124329913,116.661714539,-0.2792368,-0.4198064,-0.375116,0.2158505,-0.6003399,-0.385111,173.095259537,63.7839093205,152.92831724,136.807170742,142.308863505,171.573603648,122.640017266,140.291352614,150.977282234,72057594037934000
9,2016/11/01-16:59:17.4833,153.344822276,174.16067595,151.015356628,161.091565505,128.502775216,119.24391862,-0.2827464,-0.4215334,-0.381637,0.2337959,-0.6128842,-0.389927,173.334980088,61.6120784284,152.148027619,133.89723675,143.197659045,165.35561439,121.480376858,133.315134796,137.281588265,72057594037934000
